MatchID,Date,Team1,Team2,Winner,Venue,City,TossWinner,TossDecision,PlayerOfMatch
1298146,2022-10-21,Scotland,Zimbabwe,Zimbabwe,"Bellerive Oval, Hobart",Hobart,Scotland,bat,Sikandar Raza
1298147,2022-10-22,New Zealand,Australia,New Zealand,Sydney Cricket Ground,Sydney,Australia,field,DP Conway
1298149,2022-10-23,Ireland,Sri Lanka,Sri Lanka,"Bellerive Oval, Hobart",Hobart,Ireland,bat,BKG Mendis
1298150,2022-10-23,Pakistan,India,India,Melbourne Cricket Ground,Melbourne,India,field,V Kohli
1298151,2022-10-24,Bangladesh,Netherlands,Bangladesh,"Bellerive Oval, Hobart",Hobart,Netherlands,field,Taskin Ahmed
1298152,2022-10-24,Zimbabwe,South Africa,,"Bellerive Oval, Hobart",Hobart,Zimbabwe,bat,
1298153,2022-10-25,Sri Lanka,Australia,Australia,Perth Stadium,Perth,Australia,field,MP Stoinis
1298154,2022-10-26,Ireland,England,Ireland,Melbourne Cricket Ground,Melbourne,England,field,A Balbirnie
1298156,2022-10-27,South Africa,Bangladesh,South Africa,Sydney Cricket Ground,Sydney,South Africa,bat,RR Rossouw
1298157,2022-10-27,India,Netherlands,India,Sydney Cricket Ground,Sydney,India,bat,SA Yadav
1298158,2022-10-27,Zimbabwe,Pakistan,Zimbabwe,Perth Stadium,Perth,Zimbabwe,bat,Sikandar Raza
1298161,2022-10-29,New Zealand,Sri Lanka,New Zealand,Sydney Cricket Ground,Sydney,New Zealand,bat,GD Phillips
1298162,2022-10-30,Bangladesh,Zimbabwe,Bangladesh,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,Bangladesh,bat,Taskin Ahmed
1298163,2022-10-30,Netherlands,Pakistan,Pakistan,Perth Stadium,Perth,Netherlands,bat,Shadab Khan
1298164,2022-10-30,India,South Africa,South Africa,Perth Stadium,Perth,India,bat,L Ngidi
1298165,2022-10-31,Australia,Ireland,Australia,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,Ireland,field,AJ Finch
1298167,2022-11-01,England,New Zealand,England,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,England,bat,JC Buttler
1298168,2022-11-02,Zimbabwe,Netherlands,Netherlands,Adelaide Oval,Adelaide,Zimbabwe,bat,MP O'Dowd
1298169,2022-11-02,India,Bangladesh,India,Adelaide Oval,Adelaide,Bangladesh,field,V Kohli
1298170,2022-11-03,Pakistan,South Africa,Pakistan,Sydney Cricket Ground,Sydney,Pakistan,bat,Shadab Khan
1298171,2022-11-04,New Zealand,Ireland,New Zealand,Adelaide Oval,Adelaide,Ireland,field,KS Williamson
