MatchID,Date,Team1,Team2,Winner,Venue,City,TossWinner,TossDecision,PlayerOfMatch
951327,2016-03-13,Bangladesh,Oman,Bangladesh,Himachal Pradesh Cricket Association Stadium,Dharamsala,Oman,field,Tamim Iqbal
951329,2016-03-15,India,New Zealand,New Zealand,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,New Zealand,bat,MJ Santner
951331,2016-03-16,England,West Indies,West Indies,Wankhede Stadium,Mumbai,West Indies,field,CH Gayle
951333,2016-03-16,Bangladesh,Pakistan,Pakistan,Eden Gardens,Kolkata,Pakistan,bat,Shahid Afridi
951337,2016-03-18,Australia,New Zealand,New Zealand,Himachal Pradesh Cricket Association Stadium,Dharamsala,New Zealand,bat,MJ McClenaghan
951339,2016-03-18,England,South Africa,England,Wankhede Stadium,Mumbai,England,field,JE Root
951341,2016-03-19,India,Pakistan,India,Eden Gardens,Kolkata,India,field,V Kohli
951345,2016-03-20,Sri Lanka,West Indies,West Indies,M Chinnaswamy Stadium,Bangalore,West Indies,field,ADS Fletcher
951347,2016-03-21,Australia,Bangladesh,Australia,M Chinnaswamy Stadium,Bangalore,Australia,field,A Zampa
951349,2016-03-22,New Zealand,Pakistan,New Zealand,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,New Zealand,bat,MJ Guptill
951353,2016-03-23,India,Bangladesh,India,M Chinnaswamy Stadium,Bangalore,Bangladesh,field,R Ashwin
951355,2016-03-25,Australia,Pakistan,Australia,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Australia,bat,JP Faulkner
951357,2016-03-25,South Africa,West Indies,West Indies,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,West Indies,field,MN Samuels
951359,2016-03-26,Bangladesh,New Zealand,New Zealand,Eden Gardens,Kolkata,New Zealand,bat,KS Williamson
951361,2016-03-26,England,Sri Lanka,England,Feroz Shah Kotla,Delhi,Sri Lanka,field,JC Buttler
951363,2016-03-27,India,Australia,India,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Australia,bat,V Kohli
951367,2016-03-28,South Africa,Sri Lanka,South Africa,Feroz Shah Kotla,Delhi,South Africa,field,AM Phangiso
951369,2016-03-30,England,New Zealand,England,Feroz Shah Kotla,Delhi,England,field,JJ Roy
951371,2016-03-31,India,West Indies,West Indies,Wankhede Stadium,Mumbai,West Indies,field,LMP Simmons
951373,2016-04-03,England,West Indies,West Indies,Eden Gardens,Kolkata,West Indies,field,MN Samuels
