Batter,Runs,Balls,Fours,Sixes,StrikeRate
Khawaja Nafay,7,8,1.0,0.0,87.5
Khawar Ali,42,42,4.0,3.0,100.0
Khurram Khan,73,77,8.0,1.0,94.8051948051948
Kushal Malla,37,53,2.0,1.0,69.81132075471699
L Ngidi,4,1,1.0,0.0,400.0
L Ronchi,57,40,4.0,2.0,142.5
L Siaka,27,47,2.0,0.0,57.4468085106383
L Steenkamp,116,90,12.0,5.0,128.88888888888889
L Tucker,365,299,34.0,9.0,122.07357859531773
LA Dawson,8,13,0.0,0.0,61.53846153846154
LD Chandimal,61,69,5.0,2.0,88.40579710144928
LE Plunkett,4,4,0.0,0.0,100.0
LH Ferguson,6,7,0.0,0.0,85.71428571428571
LL Tsotsobe,1,2,0.0,0.0,50.0
LM Jongwe,55,42,6.0,1.0,130.95238095238096
LMP Simmons,189,181,13.0,9.0,104.41988950276243
LN Rajbanshi,0,2,0.0,0.0,0.0
LRPL Taylor,171,138,10.0,7.0,123.91304347826087
LS Livingstone,144,104,6.0,10.0,138.46153846153845
LV van Beek,66,86,4.0,0.0,76.74418604651163
Liton Das,345,339,28.0,8.0,101.76991150442478
Lokesh Bam,55,45,6.0,2.0,122.22222222222223
M Ansari,3,5,0.0,0.0,60.0
M Campopiano,2,6,0.0,0.0,33.333333333333336
M Heingo,0,2,0.0,0.0,0.0
M Jansen,89,71,3.0,6.0,125.35211267605634
M Levitt,129,108,12.0,8.0,119.44444444444444
M Pathirana,0,5,0.0,0.0,0.0
M Shumba,65,84,5.0,0.0,77.38095238095238
M Theekshana,38,49,3.0,1.0,77.55102040816327
M van Lingen,137,143,14.0,4.0,95.8041958041958
MA Jones,341,249,32.0,15.0,136.94779116465864
MA Leask,239,166,18.0,13.0,143.97590361445782
MA Starc,30,32,1.0,1.0,93.75
MA Wood,1,1,0.0,0.0,100.0
MADI Hemantha,8,15,0.0,0.0,53.333333333333336
MB Kruger,8,19,1.0,0.0,42.10526315789474
MC Sorensen,9,8,0.0,0.0,112.5
MD Gunathilaka,0,1,0.0,0.0,0.0
MD Patel,157,123,15.0,5.0,127.64227642276423
MD Shanaka,386,295,23.0,24.0,130.84745762711864
MDKJ Perera,271,208,31.0,9.0,130.28846153846155
MG Erasmus,350,326,28.0,9.0,107.36196319018404
MH Cross,248,265,19.0,7.0,93.58490566037736
MJ Guptill,367,305,38.0,16.0,120.32786885245902
MJ Henry,10,10,1.0,0.0,100.0
MJ Humphreys,3,6,0.0,0.0,50.0
MJ Lumb,57,51,5.0,3.0,111.76470588235294
MJ McClenaghan,7,3,0.0,1.0,233.33333333333334
MJ Santner,189,152,9.0,12.0,124.34210526315789
MM Ali,276,223,22.0,12.0,123.76681614349776
MN Samuels,262,266,32.0,3.0,98.49624060150376
MN Waller,13,13,1.0,0.0,100.0
MP Kuhnemann,0,1,0.0,0.0,0.0
MP O'Dowd,489,458,47.0,12.0,106.76855895196506
MP Stoinis,394,246,30.0,21.0,160.16260162601625
MR Adair,109,98,9.0,2.0,111.22448979591837
MR Kumar,25,21,2.0,1.0,119.04761904761905
MR Marsh,507,374,49.0,25.0,135.5614973262032
MR Swart,76,82,9.0,1.0,92.6829268292683
MRJ Watt,77,66,7.0,1.0,116.66666666666667
MS Chapman,124,105,10.0,3.0,118.0952380952381
MS Dhoni,139,117,8.0,5.0,118.80341880341881
MS Wade,105,73,10.0,4.0,143.83561643835617
MT Renshaw,102,79,7.0,1.0,129.1139240506329
MW Forde,29,20,4.0,1.0,145.0
MW Machan,24,10,4.0,1.0,240.0
Mahedi Hasan,58,53,6.0,2.0,109.43396226415095
Mahmudullah,403,367,33.0,12.0,109.80926430517711
Mashrafe Mortaza,73,53,9.0,4.0,137.73584905660377
Mehedi Hasan Miraz,11,14,0.0,0.0,78.57142857142857
Mehran Khan,52,46,4.0,2.0,113.04347826086956
Milind Kumar,117,112,7.0,3.0,104.46428571428571
Mohammad Hafeez,199,168,19.0,4.0,118.45238095238095
Mohammad Haris,97,68,6.0,6.0,142.64705882352942
Mohammad Mithun,37,47,2.0,1.0,78.72340425531915
Mohammad Mohsin,9,11,1.0,0.0,81.81818181818181
Mohammad Nadeem,101,111,4.0,4.0,90.990990990991
Mohammad Naim,174,161,15.0,4.0,108.07453416149069
Mohammad Nawaz,83,99,8.0,2.0,83.83838383838383
Mohammad Rizwan,558,504,43.0,18.0,110.71428571428571
Mohammad Saifuddin,24,9,2.0,2.0,266.6666666666667
Mohammad Sami,4,2,1.0,0.0,200.0
Mohammad Wasim,16,23,2.0,0.0,69.56521739130434
Mohammed Shami,0,2,0.0,0.0,0.0
Mohammed Siraj,7,7,0.0,0.0,100.0
Mominul Haque,16,20,2.0,0.0,80.0
Mosaddek Hossain,38,39,2.0,2.0,97.43589743589743
Mudassar Bukhari,44,44,2.0,1.0,100.0
Muhammad Arfan,12,21,0.0,0.0,57.142857142857146
Muhammad Farooq,1,2,0.0,0.0,50.0
Munir Dar,36,27,3.0,1.0,133.33333333333334
Mushfiqur Rahim,306,280,32.0,6.0,109.28571428571429
Mustafizur Rahman,24,25,0.0,2.0,96.0
N Davin,64,68,7.0,2.0,94.11764705882354
N Pokana,6,12,0.0,0.0,50.0
N Pooran,258,218,19.0,15.0,118.34862385321101
N Thushara,0,5,0.0,0.0,0.0
N Vanua,67,64,3.0,3.0,104.6875
NA Rock,6,8,0.0,0.0,75.0
NB Budayair,0,1,0.0,0.0,0.0
NJ O'Brien,20,19,1.0,0.0,105.26315789473684
NK Yadav,0,2,0.0,0.0,0.0
NL McCullum,6,14,1.0,0.0,42.857142857142854
NLTC Perera,138,96,13.0,7.0,143.75
NM Coulter-Nile,1,5,0.0,0.0,20.0
NP Kenjige,1,4,0.0,0.0,25.0
NR Kirton,111,88,7.0,4.0,126.13636363636364
NR Kumar,99,87,6.0,4.0,113.79310344827586
NRJ Croes,25,12,5.0,0.0,208.33333333333334
NS Dhaliwal,179,150,19.0,5.0,119.33333333333333
NT Ellis,7,6,1.0,0.0,116.66666666666667
Nadeem Ahmed,7,13,0.0,0.0,53.84615384615385
Nadeem Khan,22,24,1.0,1.0,91.66666666666667
Najeeb Amar,2,9,0.0,0.0,22.22222222222222
Naseem Khushi,24,28,1.0,1.0,85.71428571428571
Naseem Shah,16,8,2.0,0.0,200.0
Nasir Hossain,70,70,4.0,1.0,100.0
Nasum Ahmed,26,17,2.0,2.0,152.94117647058823
Nazmul Hossain Shanto,287,282,26.0,7.0,101.77304964539007
Nizakat Khan,29,32,0.0,2.0,90.625
Nurul Hasan,62,70,2.0,1.0,88.57142857142857
O Davidson,21,20,2.0,1.0,105.0
OC McCoy,2,4,0.0,0.0,50.0
OF Smith,25,24,1.0,2.0,104.16666666666667
